Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-02 16:50:00+00:00,65636.1953125,65723.8828125,65614.859375,65698.03125,65698.03125,0
2024-04-02 16:55:00+00:00,65667.9375,65667.9375,65586.5859375,65586.5859375,65586.5859375,110239744
2024-04-02 17:00:00+00:00,65562.2109375,65622.65625,65515.91796875,65515.91796875,65515.91796875,0
2024-04-02 17:05:00+00:00,65574.2265625,65654.296875,65494.703125,65654.296875,65654.296875,0
2024-04-02 17:10:00+00:00,65659.78125,65659.78125,65467.19921875,65467.19921875,65467.19921875,30355456
2024-04-02 17:15:00+00:00,65518.44140625,65621.3046875,65513.8828125,65587.9921875,65587.9921875,0
2024-04-02 17:20:00+00:00,65590.9609375,65590.9609375,65335.578125,65335.578125,65335.578125,20738048
2024-04-02 17:25:00+00:00,65346.37890625,65458.265625,65346.37890625,65458.265625,65458.265625,41680896
2024-04-02 17:30:00+00:00,65448.78515625,65516.9921875,65413.73046875,65508.47265625,65508.47265625,26005504
2024-04-02 17:35:00+00:00,65479.94921875,65479.94921875,65393.0625,65393.0625,65393.0625,33546240
2024-04-02 17:40:00+00:00,65433.09375,65501.00390625,65415.27734375,65474.28515625,65474.28515625,0
2024-04-02 17:45:00+00:00,65459.1875,65459.1875,65346.8046875,65346.8046875,65346.8046875,4583424
2024-04-02 17:50:00+00:00,65359.140625,65387.98828125,65338.52734375,65355.1640625,65355.1640625,0
2024-04-02 17:55:00+00:00,65340.5234375,65565.25,65340.5234375,65565.25,65565.25,45010944
2024-04-02 18:00:00+00:00,65629.2578125,65751.140625,65603.203125,65603.203125,65603.203125,0
2024-04-02 18:05:00+00:00,65480.4609375,65494.42578125,65450.4765625,65494.42578125,65494.42578125,39481344
2024-04-02 18:10:00+00:00,65482.234375,65577.5390625,65482.234375,65577.5390625,65577.5390625,0
2024-04-02 18:15:00+00:00,65587.4609375,65726.78125,65587.4609375,65717.671875,65717.671875,64729088
2024-04-02 18:20:00+00:00,65715.4453125,65757.65625,65691.8828125,65742.5078125,65742.5078125,66543616
2024-04-02 18:25:00+00:00,65732.59375,65732.59375,65623.53125,65671.5546875,65671.5546875,80498688
2024-04-02 18:30:00+00:00,65624.953125,65624.953125,65566.4609375,65566.4609375,65566.4609375,6348800
2024-04-02 18:35:00+00:00,65608.7109375,65608.7109375,65554.1796875,65583.9375,65583.9375,7471104
2024-04-02 18:40:00+00:00,65568.125,65677.2734375,65568.125,65677.2734375,65677.2734375,389120
2024-04-02 18:45:00+00:00,65721.4296875,65902.2421875,65721.4296875,65894.59375,65894.59375,65695744
2024-04-02 18:50:00+00:00,65994.0546875,66042.1328125,65928.3046875,65928.3046875,65928.3046875,221597696
2024-04-02 18:55:00+00:00,65889.6484375,65889.6484375,65845.203125,65845.203125,65845.203125,5951488
2024-04-02 19:00:00+00:00,65830.6171875,66056.171875,65830.6171875,66056.171875,66056.171875,0
2024-04-02 19:05:00+00:00,65997.75,66044.828125,65984.5078125,66032.046875,66032.046875,12025856
2024-04-02 19:10:00+00:00,65991.484375,66061.484375,65973.4453125,66017.6171875,66017.6171875,0
2024-04-02 19:15:00+00:00,66005.9296875,66005.9296875,65924.8359375,65924.8359375,65924.8359375,0
2024-04-02 19:20:00+00:00,65835.71875,65965.6171875,65835.71875,65965.6171875,65965.6171875,733184
2024-04-02 19:25:00+00:00,65941.1484375,65948.5859375,65875.5390625,65948.5859375,65948.5859375,0
2024-04-02 19:30:00+00:00,65936.4609375,65997.7109375,65911.6875,65979.03125,65979.03125,0
2024-04-02 19:35:00+00:00,66044.7265625,66107.40625,66044.7265625,66100.8359375,66100.8359375,51838976
2024-04-02 19:40:00+00:00,66122.5234375,66200.4921875,66122.5234375,66200.4921875,66200.4921875,115220480
2024-04-02 19:45:00+00:00,66193.2734375,66193.2734375,66072.578125,66077.015625,66077.015625,40087552
2024-04-02 19:50:00+00:00,66108.8984375,66214.5546875,66108.8984375,66212.15625,66212.15625,83701760
2024-04-02 19:55:00+00:00,66083.5546875,66135.953125,66031.5390625,66125.359375,66125.359375,61452288
2024-04-02 20:00:00+00:00,65999.765625,66082.890625,65913.2421875,66044.0703125,66044.0703125,0
2024-04-02 20:05:00+00:00,65991.2421875,66091.2421875,65911.5078125,66034.3359375,66034.3359375,43229184
2024-04-02 20:10:00+00:00,66045.34375,66114.4453125,66045.34375,66095.328125,66095.328125,76636160
2024-04-02 20:15:00+00:00,66096.515625,66122.859375,66061.2109375,66084.65625,66084.65625,80756736
2024-04-02 20:20:00+00:00,66079.9296875,66079.9296875,66012.90625,66012.90625,66012.90625,50651136
2024-04-02 20:25:00+00:00,65991.546875,66031.8984375,65965.1171875,66031.8984375,66031.8984375,0
2024-04-02 20:30:00+00:00,66021.5078125,66026.15625,65931.0,65931.0,65931.0,13885440
2024-04-02 20:35:00+00:00,65922.90625,65926.296875,65869.5234375,65869.5234375,65869.5234375,15609856
2024-04-02 20:40:00+00:00,65878.1484375,65887.9453125,65832.1328125,65887.9453125,65887.9453125,9506816
2024-04-02 20:45:00+00:00,65907.5234375,65916.6015625,65752.1953125,65752.1953125,65752.1953125,26017792
2024-04-02 20:50:00+00:00,65707.3515625,65843.3984375,65707.3515625,65811.53125,65811.53125,38334464
2024-04-02 20:55:00+00:00,65777.8671875,65800.4140625,65611.6171875,65713.5625,65713.5625,30953472
2024-04-02 21:00:00+00:00,65721.8125,65775.8984375,65720.8828125,65720.8828125,65720.8828125,64987136
2024-04-02 21:05:00+00:00,65744.109375,65744.109375,65601.4609375,65605.8046875,65605.8046875,0
2024-04-02 21:10:00+00:00,65574.4140625,65738.9453125,65574.4140625,65738.9453125,65738.9453125,0
2024-04-02 21:15:00+00:00,65735.4453125,65822.78125,65735.4453125,65763.53125,65763.53125,33497088
